Date,Topic,Link
"26th Jul, 2023",सूची दर्ता गर्ने बारे ।,https://www.tuiost.edu.np/storage/notice/img-0002310.pdf
"21st Jul, 2023",अनुगमन निर्देशनालयकाे निर्णय पठाइएकाे बारे ।,https://www.tuiost.edu.np/storage/notice/img-0001241.pdf
"18th Jul, 2023",Ph.D. Festival 2080 – Second Announcement,https://www.tuiost.edu.np/storage/notice/festivalphd-secondannouncementprint-1806.pdf
"14th Jul, 2023",B.Sc. CSIT III Semester-2078 Form Fill Up Notice,https://www.tuiost.edu.np/storage/notice/bsccsit-3-form-fillup679.pdf
"14th Jul, 2023",Bachelor in Information Technology (BIT) III Semester-2078 and VI Semester-2076 Form Fill Up Notice,https://www.tuiost.edu.np/storage/notice/bit-form-fillup356.pdf
"9th Jul, 2023",Abstract Submission सम्बन्धी सूचना,https://www.tuiost.edu.np/storage/notice/abstractsubmission07172023922.pdf
"9th Jul, 2023",कलेज नविकरण बारे ।,https://www.tuiost.edu.np/storage/notice/img-0002185.pdf
"28th Jun, 2023",Notice Regarding The Thesis/Dissertation Submission,https://www.tuiost.edu.np/storage/notice/notice-compressed149.pdf
"26th Jun, 2023",M.Sc. III Semester - 2077 Exam Centre Notice,https://www.tuiost.edu.np/storage/notice/centre-1-compressed501.pdf
"20th Jun, 2023",स्नातकाेत्तर तह गणित विषय दाेश्राे वर्ष तेश्राे शत्रकाे छुट विषयकाे परीक्षा तालिका सम्बन्धी अत्यन्त जरूरी सूचना,https://www.tuiost.edu.np/storage/notice/math-chhut960.pdf
"20th Jun, 2023",B.Sc.CSIT VIII Semester-2075 Form Fill Up Notice,https://www.tuiost.edu.np/storage/notice/bsccsit-8-form-fillup257.pdf
"20th Jun, 2023",Bachelor in Information Technology (BIT) IV Semester-2077 Exam Centre Notice,https://www.tuiost.edu.np/storage/notice/bit-4-centre135.pdf
"20th Jun, 2023",Master in Data Science IV Semester-2077 Form Fill Up Notice,https://www.tuiost.edu.np/storage/notice/datascience-4-form-fillup961.pdf
"20th Jun, 2023",Bachelor in Mathematical Science V Semester-2077 and VII Semester-2076 Form Fill Up Notice,https://www.tuiost.edu.np/storage/notice/bmath-form-fillup8.pdf
"16th Jun, 2023",Ph.D. Festival 2080 – First Announcement,https://www.tuiost.edu.np/storage/notice/festivalphd-firstannouncement-3949.pdf
"12th Jun, 2023",Academic Calendar of B.Sc. CSIT and BIT Second Semester-2079/080,https://www.tuiost.edu.np/storage/notice/academic-calendar747.pdf
"12th Jun, 2023",स्नातकाेत्तर तह प्रथम वर्ष प्रथम शत्रकाे अांशिक (Partial) परीक्षाकाे अावेदन फारम भर्ने सम्बन्धी सूचना,https://www.tuiost.edu.np/storage/notice/msc-1-partial510.pdf
"12th Jun, 2023",M.Sc. Chemistry III Semester-2077 Exam Centre Notice,https://www.tuiost.edu.np/storage/notice/chemistry-3-centre503.pdf
"12th Jun, 2023",B.Sc.CSIT IV Semester-2077 Exam Centre Notice,https://www.tuiost.edu.np/storage/notice/bsccsit-4-centre658.pdf
"11th Jun, 2023",Bachelor in Information Technology (BIT) I Semester-2079 Exam Centre Notice,https://www.tuiost.edu.np/storage/notice/bit-1-centre597.pdf
