Date,Topic,Link
२०८१ बैशाख ३१,काठमाण्डौँ फरेष्ट्री कलेजमा वि‍एस्सी फरेष्ट्री (B.Sc.Forestry) विषयको छात्रवृत्तिमा नि:शुल्क अध्ययनका लागि दरखास्त माग गरिएको सम्बन्धी जरुरी सूचनाः,https://moest.gov.np/upload_file/files/post/1715596569_148643568_notice%20of%20%20forestry%20KFC%202081.pdf
२०८१ बैशाख ३०,वैदेशिक अध्ययन छात्रवृत्तिका लागि निवेदन पेश गर्ने सूचना।,https://moest.gov.np/upload_file/files/post/1715504669_459285951_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%20%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE%20%E0%A4%B2%E0%A4%BE%E0%A4%97%E0%A4%BF%20%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%AA%E0%A5%87%E0%A4%B6%20%E0%A4%97%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A5%87.pdf
२०८० चैत्र ९,वैदेशिक अध्ययन छात्रवृत्तिका लागि निवेदन पेश गर्ने सूचना,https://moest.gov.np/upload_file/files/post/1711097997_796100163_img066.pdf
२०८० चैत्र २,बुढानिलकण्ठ स्कुल तथा साझेदारी कार्यक्रम अन्तर्गतको छात्रवृत्ति परीक्षा सम्बन्धी सूचना,"https://moest.gov.np/upload_file/files/post/1710518138_1397855082_Scholarship%20Notice,%202080%20B.S..pdf"
२०८० फाल्गुण २४,वैदेशिक अध्ययन छात्रवृत्तिका लागि निवेदन पेश गर्ने सूचना।,https://moest.gov.np/upload_file/files/post/1709806153_1679970572_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%20%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE%20%E0%A4%B2%E0%A4%BE%E0%A4%97%E0%A4%BF%20%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%AA%E0%A5%87%E0%A4%B6%20%E0%A4%97%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A5%87%20%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE.pdf
२०८० फाल्गुण २०,वैदेशिक अध्ययन छात्रवृत्तिका लागि निवेदन पेश गर्ने सूचना,https://moest.gov.np/upload_file/files/post/1709458197_688752205_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%20%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE%20%E0%A4%B2%E0%A4%BE%E0%A4%97%E0%A4%BF%20%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%AA%E0%A5%87%E0%A4%B6%20%E0%A4%97%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A5%87%20%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE.pdf
२०८० फाल्गुण १५,वैदेशिक अध्ययन छात्रवृत्तिका लागि निवेदन पेश गर्ने सूचना !,https://moest.gov.np/upload_file/files/post/1709025201_1427003995_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%20%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE%20%E0%A4%B2%E0%A4%BE%E0%A4%97%E0%A4%BF%20%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%AA%E0%A5%87%E0%A4%B6%20%E0%A4%97%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A5%87%20%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE.pdf
२०८० फाल्गुण २,Sri Lanka Institute of InformationTechnology (SLIIT) मा सार्क मूलुकहरुका लागि छात्रवृत्ति खुल्ला भएको जानकारीमूलक सूचना,https://moest.gov.np/upload_file/files/post/1707925485_480899195_Notics.pdf
२०८० माघ १९,वैदेशिक अध्ययन छात्रवृत्तिका लागि निवेदन पेश गर्ने सूचना,https://moest.gov.np/upload_file/files/post/1706863234_637324476_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%20%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE%20%E0%A4%B2%E0%A4%BE%E0%A4%97%E0%A4%BF%20%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%AA%E0%A5%87%E0%A4%B6%20%E0%A4%97%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A5%87%20%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE.pdf
२०८० माघ १७,बंगलादेशमा चिकित्सा शिक्षा अन्तर्गत MBBS विषयमा १९ र BDS विषयमा ३ गरी जम्मा २२ सिटमा विद्यार्थी छनौट गरीएको सम्बन्धी जानकारीमूलक सूचना,https://moest.gov.np/upload_file/files/post/1706699164_491737934_Notic.pdf
